Loan_ID,Acc_ID,Dist_ID,LoanDate,Amount,Duration,Payments,Status,Purpose
L00005657,A00003354,59,7/5/1993,4980,12,415,A,car
L00006234,A00006061,1,7/11/1993,5148,12,429,C,car
L00006699,A00008330,1,7/28/1993,7656,24,319,A,car
L00006688,A00008268,1,8/3/1993,8616,24,359,C,car
L00006312,A00006453,1,9/6/1993,10944,36,304,C,car
L00006019,A00005033,1,9/13/1993,11400,12,950,A,car
L00006229,A00006040,1,9/15/1993,11736,24,489,A,car
L00005103,A00000666,64,9/24/1993,12540,12,1045,A,debt_consolidation
L00006539,A00007559,1,10/13/1993,12792,12,1066,C,car
L00005718,A00003637,1,11/4/1993,14028,12,1169,A,car
L00006064,A00005215,1,11/10/1993,14628,12,1219,A,car
L00005897,A00004476,1,11/22/1993,15192,24,633,A,car
L00005599,A00003064,18,12/1/1993,15420,12,1285,A,car
L00006852,A00009140,1,12/8/1993,16032,48,334,C,car
L00006377,A00006792,1,12/8/1993,17184,12,1432,A,debt_consolidation
L00006297,A00006363,1,12/9/1993,17508,12,1459,A,car
L00005463,A00002413,59,12/13/1993,17952,12,1496,C,car
L00006942,A00009513,1,12/16/1993,18324,12,1527,A,car
L00005740,A00003752,1,12/21/1993,18564,12,1547,A,debt_consolidation
L00007230,A00010954,1,12/23/1993,18720,60,312,C,car
L00007034,A00010001,1,1/5/1994,19044,36,529,C,car
L00005651,A00003329,59,1/5/1994,19248,12,1604,A,car
L00005429,A00002268,59,1/10/1994,20196,36,561,C,car
L00005922,A00004580,1,1/20/1994,20220,12,1685,A,car
L00006043,A00005126,1,1/21/1994,20352,48,424,C,debt_consolidation
L00006591,A00007819,1,1/31/1994,20832,48,434,C,car
L00006721,A00008475,1,2/6/1994,21072,24,878,A,car
L00005980,A00004825,1,2/7/1994,21396,12,1783,A,car
L00006600,A00007861,1,2/17/1994,21852,36,607,A,car
L00007121,A00010364,1,2/23/1994,21924,36,609,A,debt_consolidation
L00007072,A00010148,1,2/27/1994,22104,12,1842,C,debt_consolidation
L00005147,A00000938,64,3/1/1994,22260,60,371,C,debt_consolidation
L00006052,A00005164,1,3/8/1994,22356,36,621,C,car
L00005382,A00002134,59,3/11/1994,22932,36,637,C,car
L00006354,A00006688,1,3/15/1994,22968,36,638,C,car
L00005754,A00003834,1,3/16/1994,23052,12,1921,A,home_improvement
L00006878,A00009242,1,3/30/1994,23184,12,1932,A,debt_consolidation
L00005384,A00002142,59,3/31/1994,23328,12,1944,C,car
L00007139,A00010445,1,4/6/1994,23412,12,1951,C,debt_consolidation
L00005229,A00001329,64,4/7/1994,23520,12,1960,A,home_improvement
L00005723,A00003674,1,4/18/1994,23628,12,1969,A,debt_consolidation
L00007187,A00010711,1,5/2/1994,24180,60,403,C,car
L00005130,A00000813,64,5/9/1994,24312,12,2026,A,debt_consolidation
L00005479,A00002486,59,5/10/1994,24516,12,2043,A,home_improvement
L00005584,A00002986,18,5/11/1994,24792,24,1033,C,debt_consolidation
L00006407,A00006930,1,5/17/1994,25944,24,1081,A,home_improvement
L00006242,A00006097,1,5/20/1994,26208,36,728,C,debt_consolidation
L00005005,A00000176,1,5/21/1994,27456,12,2288,A,debt_consolidation
L00006578,A00007765,1,5/22/1994,27984,12,2332,A,debt_consolidation
